,station,date,E. Coli,month,Watershed
253297,PMS01,2016-11-14,4,11,Potomac Mainstem
253336,PMS01,2016-12-12,22,12,Potomac Mainstem
256199,PMS01,2017-01-09,19,1,Potomac Mainstem
256223,PMS01,2017-02-06,8,2,Potomac Mainstem
256258,PMS01,2017-03-06,2,3,Potomac Mainstem
256316,PMS01,2017-04-10,127,4,Potomac Mainstem
256348,PMS01,2017-05-08,1300,5,Potomac Mainstem
256454,PMS01,2017-06-12,5,6,Potomac Mainstem
256517,PMS01,2017-07-10,12,7,Potomac Mainstem
256599,PMS01,2017-08-07,240,8,Potomac Mainstem
258705,PMS01,2017-09-11,4,9,Potomac Mainstem
258795,PMS01,2017-10-10,727,10,Potomac Mainstem
258813,PMS01,2017-11-06,40,11,Potomac Mainstem
258871,PMS01,2017-12-11,2,12,Potomac Mainstem
259868,PMS01,2017-09-11,4,9,Potomac Mainstem
259958,PMS01,2017-10-10,727,10,Potomac Mainstem
259976,PMS01,2017-11-06,40,11,Potomac Mainstem
260034,PMS01,2017-12-11,2,12,Potomac Mainstem
260984,PMS01,2018-02-12,99,2,Potomac Mainstem
261024,PMS01,2018-03-12,1,3,Potomac Mainstem
261081,PMS01,2018-04-09,9,4,Potomac Mainstem
261121,PMS01,2018-05-07,5,5,Potomac Mainstem
261232,PMS01,2018-06-11,687,6,Potomac Mainstem
261330,PMS01,2018-07-16,6,7,Potomac Mainstem
261382,PMS01,2018-08-06,615,8,Potomac Mainstem
261478,PMS01,2018-09-10,4840,9,Potomac Mainstem
261566,PMS01,2018-10-09,34,10,Potomac Mainstem
261605,PMS01,2018-11-13,980,11,Potomac Mainstem
261634,PMS01,2018-12-10,13,12,Potomac Mainstem
24,PMS01,2018-12-10,13,12,Potomac Mainstem
83,PMS01,2019-02-12,345,2,Potomac Mainstem
115,PMS01,2019-03-11,75,3,Potomac Mainstem
187,PMS01,2019-04-08,10,4,Potomac Mainstem
272,PMS01,2019-06-10,82,6,Potomac Mainstem
328,PMS01,2019-05-06,2420,5,Potomac Mainstem
501,PMS01,2019-07-15,32,7,Potomac Mainstem
